,idVotant,Genre,Nom,Prénom,date_naissance,wikilink,age
218,PA721352,Mme,Cazarian,Danièle,,Danièle_Cazarian,55
219,PA721888,M.,Raphan,Pierre-Alain,,Pierre-Alain_Raphan,37
220,PA721908,Mme,Braun-Pivet,Yaël,,Yaël_Braun-Pivet,50
221,PA722070,M.,Henriet,Pierre,,Pierre_Henriet,29
222,PA718784,M.,Pauget,Éric,,Éric_Pauget,50
223,PA721984,M.,Latombe,Philippe,,Philippe_Latombe,45
224,PA721486,M.,Naegelen,Christophe,,Christophe_Naegelen,37
225,PA718868,M.,Larive,Michel,,Michel_Larive,54
226,PA720430,M.,Bernalicis,Ugo,,Ugo_Bernalicis,31
227,PA721960,Mme,Obono,Danièle,,Danièle_Obono,40
228,PA722202,M.,Jumel,Sébastien,,Sébastien_Jumel,49
229,PA720546,M.,Bruneel,Alain,,Alain_Bruneel,68
230,PA755549,M.,Brial,Sylvain,,Sylvain_Brial,56
231,PA721932,Mme,Lorho,Marie-France,,Marie-France_Lorho,56
232,PA721262,M.,Vuilletet,Guillaume,,Guillaume_Vuilletet,53
233,PA606202,Mme,Dumas,Françoise,1960-04-12,Françoise_Dumas,60
234,PA717379,M.,Maillard,Sylvain,,Sylvain_Maillard,46
235,PA719440,M.,Cellier,Anthony,,Anthony_Cellier,45
236,PA719512,Mme,Vignon,Corinne,,Corinne_Vignon,57
237,PA721142,Mme,Forteza,Paula,,Paula_Forteza,34
238,PA721278,M.,Anato,Patrice,,Patrice_Anato,44
239,PA721426,Mme,Riotton,Véronique,,Véronique_Riotton,51
240,PA721434,Mme,Lardet,Frédérique,,Frédérique_Lardet,54
241,PA721710,Mme,Peyron,Michèle,,Michèle_Peyron,59
242,PA722038,M.,Adam,Damien,,Damien_Adam,31
243,PA722292,M.,Rudigoz,Thomas,,Thomas_Rudigoz,50
244,PA721742,Mme,Florennes,Isabelle,,Isabelle_Florennes,53
245,PA722374,M.,Isaac-Sibille,Cyrille,,Cyrille_Isaac-Sibille,62
246,PA720468,M.,Chenu,Sébastien,,Sébastien_Chenu,47
247,PA718728,Mme,Vanceunebrock,Laurence,,Laurence_Vanceunebrock,50
248,PA672,M.,Bridey,Jean-Jacques,1953-05-07,Jean-Jacques_Bridey,67
249,PA718756,Mme,Bono-Vandorme,Aude,,Aude_Bono-Vandorme,58
250,PA719350,Mme,Tamarelle-Verhaeghe,Marie,,Marie_Tamarelle-Verhaeghe,58
251,PA719364,Mme,O'Petit,Claire,,Claire_O'Petit,71
252,PA719550,Mme,Tanguy,Liliana,,Liliana_Tanguy,53
253,PA719692,M.,Eliaou,Jean-François,,Jean-François_Eliaou,64
254,PA719770,M.,Bachelier,Florian,,Florian_Bachelier,41
255,PA719858,Mme,Limon,Monique,,Monique_Limon,67
256,PA720116,Mme,Brunet,Anne-France,,Anne-France_Brunet,58
257,PA720170,Mme,Grandjean,Carole,,Carole_Grandjean,37
