,idVotant,Contre,Pour,indice_accord,taux_abstention,Région_x,age,Genre,CSP,Groupe politique (complet)
147685,PA722300,57.49,42.51,758.45,87.15880893300249,Auvergne-Rhône-Alpes,40,Mme,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
147892,PA722308,34.48,65.52,448.28,98.20099255583126,Auvergne-Rhône-Alpes,52,Mme,Sans profession dÃ©clarÃ©e,Les Républicains
147921,PA722312,62.24,37.76,698.98,87.84119106699751,Bourgogne-Franche-Comté,48,Mme,Cadres d'entreprise,La République en Marche
148117,PA722320,57.92,42.08,748.63,88.64764267990074,Bourgogne-Franche-Comté,51,M.,Professions libÃ©rales et assimilÃ©s,La République en Marche
148300,PA722336,74.01,25.99,765.23,65.38461538461539,Grand Est,48,M.,Cadres d'entreprise,La République en Marche
148858,PA722344,59.05,40.95,709.52,86.9727047146402,Auvergne-Rhône-Alpes,54,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",Non inscrit
149068,PA722358,57.55,42.45,762.59,91.37717121588089,Auvergne-Rhône-Alpes,39,M.,Chefs d'entreprise de 10 salariÃ©s ou plus,Agir ensemble
149207,PA722366,69.61,30.39,770.59,68.3622828784119,Auvergne-Rhône-Alpes,51,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
149717,PA722374,57.87,42.13,726.85,86.60049627791564,Auvergne-Rhône-Alpes,62,M.,Professions libÃ©rales et assimilÃ©s,Mouvement Démocrate (MoDem) et Démocrates apparentés
149933,PA722382,69.44,30.56,796.3,79.90074441687345,Bourgogne-Franche-Comté,42,M.,CommerÃ§ants et assimilÃ©s,La République en Marche
150257,PA722390,39.9,60.1,398.96,88.0272952853598,Bourgogne-Franche-Comté,61,Mme,Professions libÃ©rales et assimilÃ©s,Les Républicains
150450,PA722398,70.83,29.17,776.04,64.26799007444168,Bourgogne-Franche-Comté,54,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
151026,PA724827,64.02,35.98,719.67,85.17369727047146,Mayotte,59,Mme,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
151265,PA746,45.54,54.46,425.74,93.73449131513648,Ile-de-France,72,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",Les Républicains
151366,PA748954,45.18,54.82,395.94,87.77915632754343,Ile-de-France,45,M.,Professions libÃ©rales et assimilÃ©s,Les Républicains
151563,PA755549,52.08,47.92,625.0,97.02233250620348,Wallis-et-Futuna,56,M.,Chefs d'entreprise de 10 salariÃ©s ou plus,Libertés et Territoires
151611,PA759192,53.19,46.81,404.26,97.08436724565756,Réunion,70,M.,Anciens cadres et professions intermÃ©diaires,Les Républicains
151658,PA760658,53.54,46.46,595.96,93.85856079404466,Ile-de-France,72,M.,Anciens cadres et professions intermÃ©diaires,La République en Marche
151757,PA767,38.74,61.26,387.39,93.11414392059554,Grand Est,62,M.,Agriculteurs exploitants,Les Républicains
151868,PA774952,42.86,57.14,428.57,99.56575682382135,Ile-de-France,56,M.,Artisans,Les Républicains
151875,PA774954,55.56,44.44,611.11,98.8833746898263,Pays de la Loire,37,Mme,Sans profession dÃ©clarÃ©e,Les Républicains
151893,PA774956,0.0,100.0,0.0,99.68982630272953,Grand Est,55,M.,Cadres d'entreprise,Les Républicains
151898,PA774958,5.56,94.44,166.67,98.8833746898263,Normandie,60,M.,Cadres d'entreprise,Socialistes et apparentés
151916,PA774960,50.0,50.0,500.0,99.50372208436724,Ile-de-France,55,Mme,"Cadres de la fonction publique, professions intellectuelles et artistiques",Socialistes et apparentés
151924,PA774962,100.0,0.0,1000.0,99.93796526054591,Réunion,35,Mme,"Professions intermÃ©diaires de l'enseignement, de la santÃ©, de la fonction publique et assimilÃ©s",Gauche démocrate et républicaine
151925,PA856,48.68,51.32,417.99,88.27543424317618,Grand Est,72,M.,Professions libÃ©rales et assimilÃ©s,Les Républicains
152114,PA923,44.27,55.73,435.11,91.87344913151365,Grand Est,62,M.,Cadres d'entreprise,Les Républicains
152245,PA942,50.6,49.4,518.07,84.55334987593052,Grand Est,68,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",Libertés et Territoires
152494,PA998,58.14,41.86,511.63,97.33250620347394,Hauts-de-France,69,M.,Chefs d'entreprise de 10 salariÃ©s ou plus,Les Républicains
